topGenre,year,isHighEnergy,isDanceable,isLoud,isLively,isHighValence,isAcoustic,isSpeechy,isPopular
adult standards,2004,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
album rock,2000,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
alternative hip hop,2001,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
alternative metal,2007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
classic rock,2002,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
alternative pop rock,2004,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
pop,2002,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
modern rock,2006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
modern rock,2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
detroit hip hop,2002,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
alternative rock,2003,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch indie,2000,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
garage rock,2007,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dutch cabaret,2006,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
permanent wave,2005,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
alternative rock,2005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
classic uk pop,2004,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
dance pop,2002,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
permanent wave,2005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
modern folk rock,2009,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch pop,2006,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
modern rock,2004,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
detroit hip hop,2002,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
afropop,2004,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
permanent wave,2002,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
british soul,2008,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
adult standards,2002,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
